citation_key,full_reference,doi_or_url,verification_source,claim_supported,status,notes
taki2000dominant,"Taki T, Hasegawa J (2000). Visualization of dominant region in team games and its application to teamwork analysis. Computer Graphics International (CGI), IEEE.",10.1109/CGI.2000.852338,Crossref,"Dominant-region concept; early space-partition model of team games",verified,"Exact title and authors match Crossref record"
spearman2018beyond,"Spearman W (2018). Beyond Expected Goals. 12th MIT Sloan Sports Analytics Conference.",https://www.sloansportsconference.com/,Web (author X post; ResearchGate PDF),"Velocity-bearing pitch-control spatial value model",verified,"No DOI (conference paper); author and title confirmed via official and ResearchGate sources"
fernandez2018wide,"Fernandez J, Bornn L (2018). Wide Open Spaces: A statistical technique for measuring space creation in professional soccer. 12th MIT Sloan Sports Analytics Conference.",https://www.sloansportsconference.com/,Web (ResearchGate/Semantic Scholar),"Pitch control / space creation from tracking; motivates kinematic control",verified,"No DOI (conference paper); full title and authors confirmed"
singh2019xt,"Singh K (2019). Introducing Expected Threat (xT). karun.in blog.",https://karun.in/blog/expected-threat.html,Web (karun.in official),"Definition of expected threat (xT) value surface reused in this thesis",verified,"Origin of xT; original post sometimes dated 2018, widely cited as 2019"
decroos2019vaep,"Decroos T, Bransen L, Van Haaren J, Davis J (2019). Actions Speak Louder than Goals: Valuing Player Actions in Soccer. KDD, ACM.",10.1145/3292500.3330758,Crossref,"VAEP / socceraction action-valuation framework (basis of the reused xT implementation)",verified,"Exact match; canonical citation for socceraction"
gudmundsson2017spatiotemporal,"Gudmundsson J, Horton M (2017). Spatio-Temporal Analysis of Team Sports. ACM Computing Surveys 50(2).",10.1145/3054132,Crossref,"Survey establishing field-like spatiotemporal representations in team sport",verified,"Exact match; abstract confirms relevance"
rein2016bigdata,"Rein R, Memmert D (2016). Big data and tactical analysis in elite soccer. SpringerPlus 5.",10.1186/s40064-016-3108-2,Crossref,"Context on big data and tactical analysis; reproducibility/coverage motivation",verified,"Exact match"
shannon1948communication,"Shannon CE (1948). A Mathematical Theory of Communication. Bell System Technical Journal 27(3):379-423.",10.1002/j.1538-7305.1948.tb01338.x,Crossref,"Shannon entropy used for spatial-entropy descriptors",verified,"Part 1 (July 1948); second part Oct 1948 is a separate DOI"
cover2006elements,"Cover TM, Thomas JA (2006). Elements of Information Theory, 2nd ed. Wiley-Interscience.",ISBN 978-0-471-24195-9,Publisher (standard textbook),"KL divergence and rate-distortion concepts",verified,"Standard reference textbook; ISBN of 2nd edition"
benjamini1995fdr,"Benjamini Y, Hochberg Y (1995). Controlling the False Discovery Rate. J. R. Stat. Soc. B 57(1):289-300.",10.1111/j.2517-6161.1995.tb02031.x,Crossref,"Benjamini-Hochberg FDR used across the validation battery",verified,"Exact match"
pappalardo2019public,"Pappalardo L et al. (2019). A public data set of spatio-temporal match events in soccer competitions. Scientific Data 6.",10.1038/s41597-019-0247-7,Crossref,"Example of open event data; open-data reproducibility context",verified,"Exact match; cited as context, not used as a data source here"
statsbomb_opendata,"StatsBomb. StatsBomb Open Data. GitHub.",https://github.com/statsbomb/open-data,Repository (used in code),"Primary event and 360 data source; licence obligations",verified,"Pinned commit b0bc9f22...; governed by StatsBomb Public Data User Agreement"
