chapter,quantity,value,units,source_file,generating_script,status,notes
4,360 frames in demonstration match,2838,frames,figures/demo1_summary.json,scripts/demo1.py,verified,"Euro 2020 match 3788758"
4,mean visible-area fraction of pitch,0.263,fraction,figures/demo1_summary.json,scripts/demo1.py,verified,"across all 2838 frames"
4,mean visible players per frame,14.7,players (of 22),figures/demo1_summary.json,scripts/demo1.py,verified,"median 15"
4,fraction of frames observing all 22 players,0.000,fraction,figures/demo1_summary.json,scripts/demo1.py,verified,"no frame observed all 22"
4,demonstration shot visible players,19,players,figures/demo1_summary.json,scripts/demo1.py,verified,"8 possession + 11 opponents"
4,demonstration shot visible-area fraction,0.110,fraction,figures/demo1_summary.json,scripts/demo1.py,verified,"control_visible_fraction"
4,control-field spatial entropy,7.23,bits,figures/demo1_summary.json,scripts/demo1.py,verified,
4,pass-origin density spatial entropy,10.37,bits,figures/demo1_summary.json,scripts/demo1.py,verified,"925 pass origins; integral 1.000"
4,flow field |J| jitter stability (1 m),0.876,spatial corr,figures/demo2_summary.json,scripts/demo2.py,verified,"passes gate (>=0.80)"
4,flow divergence jitter stability (48x32),0.642,spatial corr,figures/demo2_summary.json,scripts/demo2.py,verified,"fails gate"
4,flow divergence jitter stability (24x16),0.907,spatial corr,figures/demo2_summary.json,scripts/demo2.py,verified,"recovers on coarser grid"
4,flow curl jitter stability (48x32),0.544,spatial corr,figures/demo2_summary.json,scripts/demo2.py,verified,"fails; not licensed for empirical use"
4,xT training games,115,matches,data/models/xt_grid.json,scripts/fit_xt.py,verified,"Euro 2020 + WC 2022"
4,xT training actions,251393,SPADL actions,data/models/xt_grid.json,scripts/fit_xt.py,verified,
4,possession moves (Euro 2020),98620,moves,figures/demo2_summary.json,scripts/demo2.py,verified,"passes + carries"
5,Metrica frames total (game 1),145006,frames,figures/demo3_summary.json,scripts/demo3.py,verified,"25 fps"
5,frames evaluated for fidelity gap,799,frames,figures/demo3_summary.json,scripts/demo3.py,verified,
5,control corr kinematic vs position-only (0-1 m/s),0.999,spatial corr,figures/demo3_summary.json,scripts/demo3.py,verified,"n=186"
5,control corr kinematic vs position-only (>4 m/s),0.964,spatial corr,figures/demo3_summary.json,scripts/demo3.py,verified,"n=26"
5,controlling-team cell-flip fraction (0-1 m/s),0.013,fraction,figures/demo3_summary.json,scripts/demo3.py,verified,
5,controlling-team cell-flip fraction (>4 m/s),0.079,fraction,figures/demo3_summary.json,scripts/demo3.py,verified,
5,overall control corr,0.991,spatial corr,figures/demo3_summary.json,scripts/demo3.py,verified,"median 0.994"
6,team-match rows (tournaments),230,rows,figures/demo4_summary.json,scripts/demo4.py,verified,"102 Euro + 128 WC"
6,discriminant eta2 directness (Euro/WC),0.476/0.514,variance share,figures/demo4_summary.json,scripts/demo4.py,verified,"p=0.001/0.000"
6,discriminant eta2 entropy_end (Euro/WC),0.263/0.307,variance share,figures/demo4_summary.json,scripts/demo4.py,verified,"p=0.279/0.109 (not significant)"
6,incremental dR2 mean_xt_end -> shots,0.247,R2 increment,figures/demo4_summary.json,scripts/demo4.py,verified,"p<0.001; baseline n_moves"
6,incremental dR2 directness -> shots,0.069,R2 increment,figures/demo4_summary.json,scripts/demo4.py,verified,"p<0.001"
6,FDR significant (tournaments family),14 of 24,tests,figures/demo4_summary.json,scripts/demo4.py,verified,"BH q<=0.05"
6,split-half reliability directness (FAWSL 18/19),0.973,Pearson r,figures/demo5_summary.json,scripts/demo5.py,verified,"p<0.001; ~19 matches/team"
6,split-half reliability sum_dxt (FAWSL 18/19),0.871,Pearson r,figures/demo5_summary.json,scripts/demo5.py,verified,
